iter	Logloss
0	0.6895751599
1	0.6865477524
2	0.6823735898
3	0.6782639566
4	0.6747473867
5	0.6720042889
6	0.667397782
7	0.6643408833
8	0.6616270835
9	0.6588394427
10	0.6560538742
11	0.6525800506
12	0.6502610899
13	0.6472531671
14	0.6433184307
15	0.6402163409
16	0.6365945729
17	0.634258737
18	0.6308471275
19	0.6282444023
20	0.6247477963
21	0.6218705113
22	0.6183161545
23	0.6162259029
24	0.6142446166
25	0.6122372549
26	0.609824157
27	0.6073472493
28	0.6049854559
29	0.6024522775
30	0.6003132448
31	0.5975819962
32	0.5949936155
33	0.5930225692
34	0.5908516062
35	0.5892744029
36	0.5868587957
37	0.5839909769
38	0.5812143411
39	0.5794441389
40	0.5781504109
41	0.5758207901
42	0.5740072436
43	0.5724868938
44	0.5711623861
45	0.5693931037
46	0.5674239778
47	0.5660402682
48	0.5642731227
49	0.5627720717
50	0.5612067076
51	0.559107212
52	0.5574856565
53	0.5563804436
54	0.5542271012
55	0.5518972407
56	0.5506341782
57	0.5489428432
58	0.5474574195
59	0.546306561
60	0.544795684
61	0.5435714643
62	0.5413374318
63	0.5398460185
64	0.5388609938
65	0.5375046518
66	0.5364036783
67	0.5349447657
68	0.5335504192
69	0.53264463
70	0.5312556314
71	0.5299727133
72	0.5289469802
73	0.5276749113
74	0.5264533878
75	0.525621038
76	0.5244786564
77	0.5235896697
78	0.5221400931
79	0.5211667166
80	0.5204626147
81	0.5189383345
82	0.5182731575
83	0.5175866273
84	0.5165217143
85	0.5154946773
86	0.5142179683
87	0.5134353971
88	0.5121030458
89	0.5112446236
90	0.5105006697
91	0.5095602347
92	0.5086661069
93	0.5081312741
94	0.507189076
95	0.5064814315
96	0.5054700771
97	0.5046722177
98	0.504076163
99	0.5032374602
100	0.502636455
101	0.5017738887
102	0.5010823386
103	0.5004279015
104	0.4997774069
105	0.4989835021
106	0.4981576174
107	0.4973068439
108	0.4965292698
109	0.4956762434
110	0.4949973413
111	0.4944005134
112	0.4933482993
113	0.4927483722
114	0.492183384
115	0.4915014289
116	0.490943472
117	0.4904387047
118	0.489910024
119	0.4892015817
120	0.4883576287
121	0.4878567901
122	0.4876087382
123	0.4871186918
124	0.4865392884
125	0.48587855
126	0.4852126875
127	0.4846246294
128	0.4838947791
129	0.4833847785
130	0.4827518855
131	0.4823728332
132	0.4818744351
133	0.4814481626
134	0.4809673624
135	0.4806024301
136	0.4802628027
137	0.4796073501
138	0.4789701703
139	0.4780883591
140	0.4775313276
141	0.4769959954
142	0.4765330753
143	0.4760279336
144	0.475542874
145	0.4750175528
146	0.4743346522
147	0.4738571929
148	0.4732223533
149	0.4726465957
150	0.4722106879
151	0.4718138934
152	0.4715286566
153	0.4708977235
154	0.4703775093
155	0.4699712956
156	0.469257236
157	0.468818473
158	0.4683276393
159	0.4678857047
160	0.4676108193
161	0.4672028703
162	0.4667787843
163	0.4664625644
164	0.4661423311
165	0.4657866291
166	0.4655081284
167	0.4651478906
168	0.4646470189
169	0.4642728915
170	0.4640652965
171	0.4636104877
172	0.4631049726
173	0.4625873758
174	0.4622674545
175	0.4620040011
176	0.461521286
177	0.4609974183
178	0.4606204312
179	0.4602167406
180	0.4595327518
181	0.4590615592
182	0.4587692062
183	0.4584790311
184	0.4582012601
185	0.4575528481
186	0.4571743446
187	0.4567391911
188	0.4563307082
189	0.4558067143
190	0.4554103756
191	0.455018186
192	0.4548955725
193	0.4545833553
194	0.4542347418
195	0.4537347812
196	0.4533355748
197	0.4530333376
198	0.4526829981
199	0.4523287594
200	0.4518893835
201	0.4516345986
202	0.4511143376
203	0.4508642863
204	0.4504739213
205	0.450113704
206	0.4496351375
207	0.4492847518
208	0.4490031807
209	0.4486152432
210	0.4484154208
211	0.4478470098
212	0.4474848013
213	0.4471584878
214	0.4469453439
215	0.4465150883
216	0.4462178004
217	0.4459819832
218	0.4457266409
219	0.445373662
220	0.4451510589
221	0.4449897196
222	0.4446479252
223	0.4442822879
224	0.4439716954
225	0.4437254751
226	0.4433870115
227	0.4431440646
228	0.4428941012
229	0.4426703938
230	0.4424200946
231	0.4421055504
232	0.4417993967
233	0.4416083693
234	0.4413099853
235	0.4409537326
236	0.4406339241
237	0.4403122679
238	0.4400355937
239	0.4396437468
240	0.4394982117
241	0.4391976349
242	0.4387765386
243	0.438540417
244	0.4381652672
245	0.4378524993
246	0.4375794109
247	0.4373874724
248	0.4370681907
249	0.4367516507
250	0.4364649283
251	0.4361762077
252	0.4359608589
253	0.4357038769
254	0.4354146234
255	0.4351642757
256	0.4349934368
257	0.4347675323
258	0.4346053546
259	0.4343672911
260	0.4342049667
261	0.4339492147
262	0.4337150507
263	0.4333397007
264	0.4331532295
265	0.4330046304
266	0.4326932217
267	0.4324965837
268	0.4322189502
269	0.4320304221
270	0.4317420431
271	0.4314045723
272	0.4312999812
273	0.4310137476
274	0.430888833
275	0.4306691074
276	0.4305262
277	0.4304211421
278	0.4301094191
279	0.4298239867
280	0.4295435539
281	0.429362095
282	0.4291227298
283	0.428804453
284	0.4286458514
285	0.4285352298
286	0.4283721064
287	0.4281172455
288	0.4278862598
289	0.4276482771
290	0.4274247154
291	0.427201896
292	0.4270075057
293	0.4267797516
294	0.4265752485
295	0.42631608
296	0.4260238256
297	0.4256687718
298	0.4254198228
299	0.4251844497
300	0.4250469669
301	0.424834396
302	0.4244309477
303	0.4241653747
304	0.423915262
305	0.4237916196
306	0.4236130517
307	0.4234642471
308	0.4232267773
309	0.4230104486
310	0.4229370147
311	0.4227971257
312	0.4225052256
313	0.4223256492
314	0.4221176246
315	0.4219015743
316	0.4216176501
317	0.4214454746
318	0.4211512269
319	0.4209460013
320	0.4207304268
321	0.4205882177
322	0.4203520118
323	0.4201951655
324	0.4200691975
325	0.419895274
326	0.4197034864
327	0.4194166156
328	0.4192942264
329	0.4191840215
330	0.4190146391
331	0.4188021127
332	0.418671509
333	0.4185359615
334	0.4182466217
335	0.4181069264
336	0.4180220689
337	0.4175159914
338	0.4172577884
339	0.4170732904
340	0.4169053875
341	0.4167477455
342	0.4166323849
343	0.4165228428
344	0.416412483
345	0.416281174
346	0.4160984283
347	0.4159229315
348	0.4157819821
349	0.4156467924
350	0.4155527421
351	0.4153258022
352	0.415189118
353	0.4150282881
354	0.4148606734
355	0.414646734
356	0.4144535379
357	0.4141968694
358	0.4140262216
359	0.4139107767
360	0.4137075487
361	0.413620447
362	0.4134735216
363	0.4132563059
364	0.4131164742
365	0.4129943149
366	0.412916557
367	0.4127001407
368	0.4126664301
369	0.4124660161
370	0.4122733765
371	0.4120811255
372	0.4119752081
373	0.4117864636
374	0.411559845
375	0.4113937922
376	0.4112479458
377	0.411088687
378	0.4109996719
379	0.4109028356
380	0.4107350622
381	0.4104649139
382	0.4102254415
383	0.4100884586
384	0.4098629199
385	0.409726214
386	0.4095617726
387	0.409341951
388	0.4090600638
389	0.4090016738
390	0.4087730354
391	0.4085673662
392	0.4083831166
393	0.4082260951
394	0.4081117648
395	0.4080422218
396	0.407918516
397	0.4076992946
398	0.4075773174
399	0.4074259628
400	0.4073264394
401	0.4072536789
402	0.4071805398
403	0.4070603968
404	0.406876455
405	0.4067176067
406	0.4066156922
407	0.4064456904
408	0.4063284802
409	0.4061634354
410	0.4060734824
411	0.4059090248
412	0.4057649823
413	0.4055526999
414	0.405432062
415	0.4053292031
416	0.4051414758
417	0.4050051585
418	0.4049014509
419	0.404763027
420	0.4046427449
421	0.4044872941
422	0.4044231956
423	0.4042373522
424	0.4041094386
425	0.4038645553
426	0.403798867
427	0.4036888602
428	0.4036345932
429	0.4034921973
430	0.4034020024
431	0.4032979522
432	0.4031730134
433	0.4030321618
434	0.4028826139
435	0.4027757453
436	0.4025174408
437	0.4023567999
438	0.4022028604
439	0.4021064203
440	0.4020021554
441	0.4017527411
442	0.4015299995
443	0.4014033535
444	0.4012726807
445	0.4011036704
446	0.4009625364
447	0.4008291695
448	0.400687188
449	0.4004980062
450	0.4001796091
451	0.4000210328
452	0.3999233236
453	0.3998694137
454	0.3997286792
455	0.3994705754
456	0.3994032053
457	0.3992824653
458	0.399120322
459	0.3990560804
460	0.3988653584
461	0.3986578544
462	0.3985079598
463	0.3983596453
464	0.3982406456
465	0.3981132813
466	0.3980112926
467	0.3978961163
468	0.3976878743
469	0.3975669372
470	0.3974338492
471	0.3973305954
472	0.3972678718
473	0.3971665032
474	0.3970859964
475	0.3969279072
476	0.3967933716
477	0.3966467982
478	0.396515795
479	0.3964604198
480	0.3963821497
481	0.3961369233
482	0.3960070328
483	0.3958715392
484	0.3956602632
485	0.3955144309
486	0.395312851
487	0.3951772361
488	0.3950461425
489	0.3948251921
490	0.3947674421
491	0.3946006638
492	0.3944925944
493	0.3944496085
494	0.3943071143
495	0.3941991111
496	0.3939271714
497	0.3938001259
498	0.3937056597
499	0.3934999139
